brand,post_id,comments,views,likes,is_removed,unique_faces,detected_faces,is_product_in_usage,product_clearly_seen,is_a_child_or_baby_present,hashtag_ad_count,standalone_ad_count,most_common,words_count,paid_partnership,KEYWORDS_CAPTION,has_emoji,sponsor_integration_in_caption,CTA_BUY,CTA_GIFT,CTA_SIGN_UP,CTA_READ,CTA_FIND_OUT,PG_BRAND,COTERIE_BRAND,HEALTHYBABY_BRAND,HONEST_BRAND,HUGGIES_BRAND,KUDOSTOBABY_BRAND,LUVS_BRAND,MYMILLIEMOON_BRAND,FIRST_PERSON_QUESTIONS,GENERAL_AUDIENCE_QUESTIONS,NEGATIVE_HOOK,brand_counts,narrative_changes,brand_as_sponsor,num_scenes
honest,C17ODwTMq1c,258,0,2719,False,2.0,2.0,False,True,True,1,0,hashtag_ad,71,0,False,True,0.0,False,False,False,False,False,,,,,,,,,,,,,,,
honest,C013KVDOSrL,419,0,2987,False,1.0,1.0,False,False,False,1,0,hashtag_ad,82,0,True,True,0.0,False,False,False,False,False,,,,,,,,,,,,,,,
honest,C0RoGqUMbQi,357,0,1844,False,2.0,2.0,False,True,True,1,0,hashtag_ad,46,0,False,True,0.0,False,False,False,False,False,,,,,,,,,,,,,,,
honest,C-THAnoyico,18,0,19435,False,2.0,2.0,False,True,True,1,0,hashtag_ad,68,0,False,False,0.0,False,False,False,False,False,,,,,,,,,,,,,,,
honest,C3F6eJUMTmT,129,0,3,False,87.0,122.0,True,True,True,0,0,equal,88,1,True,True,0.1704545454545454,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2.0,1.0,0.0,761.0
honest,C2-8LJHPO9-,115,0,3,False,85.0,138.0,True,True,True,0,0,equal,119,1,False,True,0.2016806722689075,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,2.0,1.0,0.0,607.0
honest,C-EDT4CS7Ai,628,0,1729,False,0.0,0.0,,,,1,0,hashtag_ad,85,0,False,True,0.0,False,False,False,False,False,,,,,,,,,,,,,,,
honest,C9Vs2BpvGl9,37,0,957,False,46.0,68.0,True,True,True,0,0,equal,214,1,False,False,0.1682242990654205,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4.0,1.0,0.0,469.0
honest,C9LoDHQPWt_,23,0,3,False,,,,,,0,0,equal,56,1,False,True,0.2321428571428571,False,False,False,False,False,,,,,,,,,,,,,,,
honest,C97rNAxORw8,7,0,3,False,37.0,87.0,False,True,True,0,0,equal,33,1,False,False,0.5757575757575758,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2.0,1.0,0.0,295.0
honest,C3Qqr9OSbLJ,60,0,980,False,42.0,55.0,True,True,True,0,0,equal,134,1,True,False,0.1417910447761194,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3.0,1.0,0.0,227.0
honest,C9ugVHiuE7H,7,0,3,False,0.0,0.0,False,False,False,0,0,equal,52,1,False,True,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,251.0
honest,C17RXJNOJdr,203,0,3,False,3.0,3.0,False,True,True,1,0,hashtag_ad,60,0,False,True,0.0,False,False,False,False,False,,,,,,,,,,,,,,,
honest,C-n6rWzyQzZ,37,0,3,False,23.0,50.0,False,True,True,1,0,hashtag_ad,48,0,False,True,0.1458333333333333,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,3.0,1.0,0.0,345.0
honest,C0PkbK_vHmO,51,0,154,False,,,,,,1,0,hashtag_ad,78,0,True,False,0.2179487179487179,False,False,False,False,False,,,,,,,,,,,,,,,
honest,C-VIgozxD5N,50,0,453,False,35.0,53.0,True,True,True,0,0,equal,157,1,False,True,0.0636942675159235,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0,1.0,0.0,401.0
honest,C2sZ8cTpzQ-,88,0,1305,False,17.0,52.0,True,True,False,0,0,equal,108,1,True,True,0.0462962962962962,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,0.0,0.0,0.0,43.0
